File,Smell,Details,Line,Category,Is Code Smell
helloworld_SAC_TD3_DDPG_single_file.py,Hardcoded hyperparameter,gamma=0.99,31.0,HYPERPARAMETER,True
helloworld_SAC_TD3_DDPG_single_file.py,Hardcoded hyperparameter,learning_rate=6e-05,36.0,HYPERPARAMETER,True
helloworld_SAC_TD3_DDPG_single_file.py,Hardcoded hyperparameter,gamma=0.97,753.0,HYPERPARAMETER,True
helloworld_SAC_TD3_DDPG_single_file.py,Hardcoded hyperparameter,batch_size=256,782.0,HYPERPARAMETER,True
helloworld_SAC_TD3_DDPG_single_file.py,Hardcoded hyperparameter,gamma=0.98,783.0,HYPERPARAMETER,True
helloworld_SAC_TD3_DDPG_single_file.py,No tuning of hyperparameters,hyperparameter tuning is missing from the script,,HYPERPARAMETER,True
helloworld_SAC_TD3_DDPG_single_file.py,Missing model evaluation,Evaluation call not found in the script,,EVALUATION,True
helloworld_SAC_TD3_DDPG_single_file.py,Logging,call np.log,477.0,CODESTYLE,False
helloworld_SAC_TD3_DDPG_single_file.py,Logging,call np.log,483.0,CODESTYLE,False
helloworld_SAC_TD3_DDPG_single_file.py,Logging,call np.log,524.0,CODESTYLE,False
StockTradingVmapEnv.py,Missing checkpoint saving,The model does not implement intermediate checkpoint saving. Training progress could be lost.,,TRAINING,True
StockTradingVmapEnv.py,No tuning of hyperparameters,hyperparameter tuning is missing from the script,,HYPERPARAMETER,True
StockTradingVmapEnv.py,Missing model evaluation,Evaluation call not found in the script,,EVALUATION,True
StockTradingVmapEnv.py,Logging,No logging detected,,CODESTYLE,True
erl_config.py,Missing checkpoint saving,The model does not implement intermediate checkpoint saving. Training progress could be lost.,,TRAINING,True
erl_config.py,Hardcoded hyperparameter,gamma=0.99,23.0,HYPERPARAMETER,True
erl_config.py,Hardcoded hyperparameter,learning_rate=6e-05,28.0,HYPERPARAMETER,True
erl_config.py,No tuning of hyperparameters,hyperparameter tuning is missing from the script,,HYPERPARAMETER,True
erl_config.py,Missing model evaluation,Evaluation call not found in the script,,EVALUATION,True
erl_config.py,Logging,No logging detected,,CODESTYLE,True
helloworld_DQN_single_file.py,Hardcoded hyperparameter,gamma=0.99,30.0,HYPERPARAMETER,True
helloworld_DQN_single_file.py,Hardcoded hyperparameter,learning_rate=6e-05,35.0,HYPERPARAMETER,True
helloworld_DQN_single_file.py,Hardcoded hyperparameter,gamma=0.95,628.0,HYPERPARAMETER,True
helloworld_DQN_single_file.py,No tuning of hyperparameters,hyperparameter tuning is missing from the script,,HYPERPARAMETER,True
helloworld_DQN_single_file.py,Missing model evaluation,Evaluation call not found in the script,,EVALUATION,True
