File,Smell,Details,Line,Category,Is Code Smell
test_envs_implement_base_api.py,Missing checkpoint saving,The model does not implement intermediate checkpoint saving. Training progress could be lost.,,TRAINING,True
test_envs_implement_base_api.py,No tuning of hyperparameters,hyperparameter tuning is missing from the script,,HYPERPARAMETER,True
test_envs_implement_base_api.py,Missing model evaluation,Evaluation call not found in the script,,EVALUATION,True
test_envs_implement_base_api.py,Logging,No logging detected,,CODESTYLE,True
test_jaxmarl_api.py,Missing checkpoint saving,The model does not implement intermediate checkpoint saving. Training progress could be lost.,,TRAINING,True
test_jaxmarl_api.py,No tuning of hyperparameters,hyperparameter tuning is missing from the script,,HYPERPARAMETER,True
test_jaxmarl_api.py,Missing model evaluation,Evaluation call not found in the script,,EVALUATION,True
test_jaxmarl_api.py,Logging,No logging detected,,CODESTYLE,True
test_hanabi.py,Missing checkpoint saving,The model does not implement intermediate checkpoint saving. Training progress could be lost.,,TRAINING,True
test_hanabi.py,No tuning of hyperparameters,hyperparameter tuning is missing from the script,,HYPERPARAMETER,True
test_hanabi.py,Missing model evaluation,Evaluation call not found in the script,,EVALUATION,True
test_hanabi.py,Logging,No logging detected,,CODESTYLE,True
benchmark.py,Missing checkpoint saving,The model does not implement intermediate checkpoint saving. Training progress could be lost.,,TRAINING,True
benchmark.py,Hardcoded hyperparameter,max_steps=1000,56.0,HYPERPARAMETER,True
benchmark.py,No tuning of hyperparameters,hyperparameter tuning is missing from the script,,HYPERPARAMETER,True
benchmark.py,Missing model evaluation,Evaluation call not found in the script,,EVALUATION,True
benchmark.py,Logging,No logging detected,,CODESTYLE,True
test_heuristic.py,Missing checkpoint saving,The model does not implement intermediate checkpoint saving. Training progress could be lost.,,TRAINING,True
test_heuristic.py,No tuning of hyperparameters,hyperparameter tuning is missing from the script,,HYPERPARAMETER,True
test_heuristic.py,Missing model evaluation,Evaluation call not found in the script,,EVALUATION,True
test_heuristic.py,Logging,No logging detected,,CODESTYLE,True
test_brax_rand_acts.py,Missing checkpoint saving,The model does not implement intermediate checkpoint saving. Training progress could be lost.,,TRAINING,True
test_brax_rand_acts.py,No tuning of hyperparameters,hyperparameter tuning is missing from the script,,HYPERPARAMETER,True
test_brax_rand_acts.py,Missing model evaluation,Evaluation call not found in the script,,EVALUATION,True
test_brax_rand_acts.py,Logging,No logging detected,,CODESTYLE,True
test_overcooked_rand_acts.py,Missing checkpoint saving,The model does not implement intermediate checkpoint saving. Training progress could be lost.,,TRAINING,True
test_overcooked_rand_acts.py,No tuning of hyperparameters,hyperparameter tuning is missing from the script,,HYPERPARAMETER,True
test_overcooked_rand_acts.py,Missing model evaluation,Evaluation call not found in the script,,EVALUATION,True
test_overcooked_rand_acts.py,Logging,No logging detected,,CODESTYLE,True
test_coin_game_rand_acts.py,Missing checkpoint saving,The model does not implement intermediate checkpoint saving. Training progress could be lost.,,TRAINING,True
test_coin_game_rand_acts.py,No tuning of hyperparameters,hyperparameter tuning is missing from the script,,HYPERPARAMETER,True
test_coin_game_rand_acts.py,Missing model evaluation,Evaluation call not found in the script,,EVALUATION,True
test_coin_game_rand_acts.py,Logging,No logging detected,,CODESTYLE,True
test_mpe.py,Missing checkpoint saving,The model does not implement intermediate checkpoint saving. Training progress could be lost.,,TRAINING,True
test_mpe.py,No tuning of hyperparameters,hyperparameter tuning is missing from the script,,HYPERPARAMETER,True
test_mpe.py,Missing model evaluation,Evaluation call not found in the script,,EVALUATION,True
test_mpe.py,Logging,No logging detected,,CODESTYLE,True
mpe_policy_transfer.py,Missing checkpoint saving,The model does not implement intermediate checkpoint saving. Training progress could be lost.,,TRAINING,True
mpe_policy_transfer.py,No tuning of hyperparameters,hyperparameter tuning is missing from the script,,HYPERPARAMETER,True
mpe_policy_transfer.py,Missing model evaluation,Evaluation call not found in the script,,EVALUATION,True
mpe_policy_transfer.py,Logging,No logging detected,,CODESTYLE,True
zoo_benchmark.py,Missing checkpoint saving,The model does not implement intermediate checkpoint saving. Training progress could be lost.,,TRAINING,True
zoo_benchmark.py,Hardcoded hyperparameter,max_steps=1000,13.0,HYPERPARAMETER,True
zoo_benchmark.py,No tuning of hyperparameters,hyperparameter tuning is missing from the script,,HYPERPARAMETER,True
zoo_benchmark.py,Missing model evaluation,Evaluation call not found in the script,,EVALUATION,True
zoo_benchmark.py,Logging,No logging detected,,CODESTYLE,True
test_overcooked_v2_rand_acts.py,Missing checkpoint saving,The model does not implement intermediate checkpoint saving. Training progress could be lost.,,TRAINING,True
test_overcooked_v2_rand_acts.py,No tuning of hyperparameters,hyperparameter tuning is missing from the script,,HYPERPARAMETER,True
test_overcooked_v2_rand_acts.py,Missing model evaluation,Evaluation call not found in the script,,EVALUATION,True
test_overcooked_v2_rand_acts.py,Logging,No logging detected,,CODESTYLE,True
test_jaxnav_rand_acts.py,Missing checkpoint saving,The model does not implement intermediate checkpoint saving. Training progress could be lost.,,TRAINING,True
test_jaxnav_rand_acts.py,No tuning of hyperparameters,hyperparameter tuning is missing from the script,,HYPERPARAMETER,True
test_jaxnav_rand_acts.py,Missing model evaluation,Evaluation call not found in the script,,EVALUATION,True
test_jaxnav_rand_acts.py,Logging,No logging detected,,CODESTYLE,True
test_smax.py,Missing checkpoint saving,The model does not implement intermediate checkpoint saving. Training progress could be lost.,,TRAINING,True
test_smax.py,No tuning of hyperparameters,hyperparameter tuning is missing from the script,,HYPERPARAMETER,True
test_smax.py,Missing model evaluation,Evaluation call not found in the script,,EVALUATION,True
test_smax.py,Logging,No logging detected,,CODESTYLE,True
test_storm_rand_acts.py,Missing checkpoint saving,The model does not implement intermediate checkpoint saving. Training progress could be lost.,,TRAINING,True
test_storm_rand_acts.py,No tuning of hyperparameters,hyperparameter tuning is missing from the script,,HYPERPARAMETER,True
test_storm_rand_acts.py,Missing model evaluation,Evaluation call not found in the script,,EVALUATION,True
test_storm_rand_acts.py,Logging,No logging detected,,CODESTYLE,True
tabular_q.py,Missing checkpoint saving,The model does not implement intermediate checkpoint saving. Training progress could be lost.,,TRAINING,True
tabular_q.py,Hardcoded hyperparameter,epsilon=0.2,60.0,HYPERPARAMETER,True
tabular_q.py,Hardcoded hyperparameter,gamma=0.99,63.0,HYPERPARAMETER,True
tabular_q.py,No tuning of hyperparameters,hyperparameter tuning is missing from the script,,HYPERPARAMETER,True
tabular_q.py,Missing model evaluation,Evaluation call not found in the script,,EVALUATION,True
tabular_q.py,Logging,No logging detected,,CODESTYLE,True
baselines.py,Missing checkpoint saving,The model does not implement intermediate checkpoint saving. Training progress could be lost.,,TRAINING,True
baselines.py,No tuning of hyperparameters,hyperparameter tuning is missing from the script,,HYPERPARAMETER,True
baselines.py,Missing model evaluation,Evaluation call not found in the script,,EVALUATION,True
baselines.py,Logging,No logging detected,,CODESTYLE,True
manual_game.py,Missing checkpoint saving,The model does not implement intermediate checkpoint saving. Training progress could be lost.,,TRAINING,True
manual_game.py,No tuning of hyperparameters,hyperparameter tuning is missing from the script,,HYPERPARAMETER,True
manual_game.py,Missing model evaluation,Evaluation call not found in the script,,EVALUATION,True
manual_game.py,Logging,No logging detected,,CODESTYLE,True
obl_r2d2_agent.py,Missing checkpoint saving,The model does not implement intermediate checkpoint saving. Training progress could be lost.,,TRAINING,True
obl_r2d2_agent.py,No tuning of hyperparameters,hyperparameter tuning is missing from the script,,HYPERPARAMETER,True
obl_r2d2_agent.py,Missing model evaluation,Evaluation call not found in the script,,EVALUATION,True
obl_r2d2_agent.py,Logging,No logging detected,,CODESTYLE,True
obl_r2d2_agent_test.py,Missing checkpoint saving,The model does not implement intermediate checkpoint saving. Training progress could be lost.,,TRAINING,True
obl_r2d2_agent_test.py,No tuning of hyperparameters,hyperparameter tuning is missing from the script,,HYPERPARAMETER,True
obl_r2d2_agent_test.py,Missing model evaluation,Evaluation call not found in the script,,EVALUATION,True
obl_r2d2_agent_test.py,Logging,No logging detected,,CODESTYLE,True
switch_riddle.py,Missing checkpoint saving,The model does not implement intermediate checkpoint saving. Training progress could be lost.,,TRAINING,True
switch_riddle.py,No tuning of hyperparameters,hyperparameter tuning is missing from the script,,HYPERPARAMETER,True
switch_riddle.py,Missing model evaluation,Evaluation call not found in the script,,EVALUATION,True
switch_riddle.py,Logging,No logging detected,,CODESTYLE,True
mabrax_env.py,Missing checkpoint saving,The model does not implement intermediate checkpoint saving. Training progress could be lost.,,TRAINING,True
mabrax_env.py,No tuning of hyperparameters,hyperparameter tuning is missing from the script,,HYPERPARAMETER,True
mabrax_env.py,Missing model evaluation,Evaluation call not found in the script,,EVALUATION,True
mabrax_env.py,Logging,No logging detected,,CODESTYLE,True
mpe_introduction.py,Missing checkpoint saving,The model does not implement intermediate checkpoint saving. Training progress could be lost.,,TRAINING,True
mpe_introduction.py,Hardcoded hyperparameter,max_steps=25,10.0,HYPERPARAMETER,True
mpe_introduction.py,No tuning of hyperparameters,hyperparameter tuning is missing from the script,,HYPERPARAMETER,True
mpe_introduction.py,Missing model evaluation,Evaluation call not found in the script,,EVALUATION,True
mpe_introduction.py,Logging,No logging detected,,CODESTYLE,True
smax_introduction.py,Missing checkpoint saving,The model does not implement intermediate checkpoint saving. Training progress could be lost.,,TRAINING,True
