File,Smell,Details,Line,Category,Is Code Smell
minigrid_lightzero_env.py,No tuning of hyperparameters,hyperparameter tuning is missing from the script,,HYPERPARAMETER,True
minigrid_lightzero_env.py,Missing model evaluation,Evaluation call not found in the script,,EVALUATION,True
minigrid_lightzero_env.py,Logging,No logging detected,,CODESTYLE,True
minigrid_lightzero_env.py,Random behavior detected for sampling,self.action_space.sample(),211.0,AGENT,True
memory_lightzero_env.py,No tuning of hyperparameters,hyperparameter tuning is missing from the script,,HYPERPARAMETER,True
memory_lightzero_env.py,Missing model evaluation,Evaluation call not found in the script,,EVALUATION,True
memory_lightzero_env.py,Logging,No logging detected,,CODESTYLE,True
memory_lightzero_env.py,Random behavior detected for sampling,self.action_space.sample(),261.0,AGENT,True
test_render.py,Missing checkpoint saving,The model does not implement intermediate checkpoint saving. Training progress could be lost.,,TRAINING,True
test_render.py,No tuning of hyperparameters,hyperparameter tuning is missing from the script,,HYPERPARAMETER,True
test_render.py,Missing model evaluation,Evaluation call not found in the script,,EVALUATION,True
test_render.py,Logging,No logging detected,,CODESTYLE,True
test_memory_lightzero_env.py,Missing checkpoint saving,The model does not implement intermediate checkpoint saving. Training progress could be lost.,,TRAINING,True
test_memory_lightzero_env.py,No tuning of hyperparameters,hyperparameter tuning is missing from the script,,HYPERPARAMETER,True
test_memory_lightzero_env.py,Missing model evaluation,Evaluation call not found in the script,,EVALUATION,True
test_memory_lightzero_env.py,Logging,No logging detected,,CODESTYLE,True
dmc2gym_state_suz_config.py,Missing checkpoint saving,The model does not implement intermediate checkpoint saving. Training progress could be lost.,,TRAINING,True
dmc2gym_state_suz_config.py,Hardcoded hyperparameter,batch_size=64,26.0,HYPERPARAMETER,True
dmc2gym_state_suz_config.py,Hardcoded hyperparameter,reanalyze_batch_size=160,35.0,HYPERPARAMETER,True
dmc2gym_state_suz_config.py,No tuning of hyperparameters,hyperparameter tuning is missing from the script,,HYPERPARAMETER,True
dmc2gym_state_suz_config.py,Missing model evaluation,Evaluation call not found in the script,,EVALUATION,True
dmc2gym_state_suz_config.py,Logging,No logging detected,,CODESTYLE,True
dmc2gym_pixels_suz_segment_config.py,Missing checkpoint saving,The model does not implement intermediate checkpoint saving. Training progress could be lost.,,TRAINING,True
dmc2gym_pixels_suz_segment_config.py,Hardcoded hyperparameter,batch_size=64,26.0,HYPERPARAMETER,True
dmc2gym_pixels_suz_segment_config.py,Hardcoded hyperparameter,reanalyze_batch_size=160,35.0,HYPERPARAMETER,True
dmc2gym_pixels_suz_segment_config.py,No tuning of hyperparameters,hyperparameter tuning is missing from the script,,HYPERPARAMETER,True
dmc2gym_pixels_suz_segment_config.py,Missing model evaluation,Evaluation call not found in the script,,EVALUATION,True
dmc2gym_pixels_suz_segment_config.py,Logging,No logging detected,,CODESTYLE,True
dmc2gym_pixels_suz_config.py,Missing checkpoint saving,The model does not implement intermediate checkpoint saving. Training progress could be lost.,,TRAINING,True
dmc2gym_pixels_suz_config.py,Hardcoded hyperparameter,batch_size=64,26.0,HYPERPARAMETER,True
dmc2gym_pixels_suz_config.py,No tuning of hyperparameters,hyperparameter tuning is missing from the script,,HYPERPARAMETER,True
dmc2gym_pixels_suz_config.py,Missing model evaluation,Evaluation call not found in the script,,EVALUATION,True
dmc2gym_pixels_suz_config.py,Logging,No logging detected,,CODESTYLE,True
dmc2gym_pixels_sez_config.py,Missing checkpoint saving,The model does not implement intermediate checkpoint saving. Training progress could be lost.,,TRAINING,True
dmc2gym_pixels_sez_config.py,Hardcoded hyperparameter,batch_size=256,23.0,HYPERPARAMETER,True
dmc2gym_pixels_sez_config.py,No tuning of hyperparameters,hyperparameter tuning is missing from the script,,HYPERPARAMETER,True
dmc2gym_pixels_sez_config.py,Missing model evaluation,Evaluation call not found in the script,,EVALUATION,True
dmc2gym_pixels_sez_config.py,Logging,No logging detected,,CODESTYLE,True
dmc2gym_pixels_smz_config.py,Missing checkpoint saving,The model does not implement intermediate checkpoint saving. Training progress could be lost.,,TRAINING,True
dmc2gym_pixels_smz_config.py,Hardcoded hyperparameter,batch_size=256,22.0,HYPERPARAMETER,True
dmc2gym_pixels_smz_config.py,No tuning of hyperparameters,hyperparameter tuning is missing from the script,,HYPERPARAMETER,True
dmc2gym_pixels_smz_config.py,Missing model evaluation,Evaluation call not found in the script,,EVALUATION,True
dmc2gym_pixels_smz_config.py,Logging,No logging detected,,CODESTYLE,True
dmc2gym_state_smz_config.py,Missing checkpoint saving,The model does not implement intermediate checkpoint saving. Training progress could be lost.,,TRAINING,True
dmc2gym_state_smz_config.py,Hardcoded hyperparameter,batch_size=1024,22.0,HYPERPARAMETER,True
dmc2gym_state_smz_config.py,No tuning of hyperparameters,hyperparameter tuning is missing from the script,,HYPERPARAMETER,True
dmc2gym_state_smz_config.py,Missing model evaluation,Evaluation call not found in the script,,EVALUATION,True
dmc2gym_state_smz_config.py,Logging,No logging detected,,CODESTYLE,True
dmc2gym_state_suz_multitask_ddp_config.py,Missing checkpoint saving,The model does not implement intermediate checkpoint saving. Training progress could be lost.,,TRAINING,True
dmc2gym_state_suz_multitask_ddp_config.py,Hardcoded hyperparameter,reanalyze_batch_size=160,415.0,HYPERPARAMETER,True
dmc2gym_state_suz_multitask_ddp_config.py,Hardcoded hyperparameter,total_batch_size=512,419.0,HYPERPARAMETER,True
dmc2gym_state_suz_multitask_ddp_config.py,No tuning of hyperparameters,hyperparameter tuning is missing from the script,,HYPERPARAMETER,True
dmc2gym_state_suz_multitask_ddp_config.py,Missing model evaluation,Evaluation call not found in the script,,EVALUATION,True
dmc2gym_state_suz_multitask_ddp_config.py,Logging,No logging detected,,CODESTYLE,True
dmc2gym_state_suz_multitask_ddp_balance_config.py,Missing checkpoint saving,The model does not implement intermediate checkpoint saving. Training progress could be lost.,,TRAINING,True
dmc2gym_state_suz_multitask_ddp_balance_config.py,Hardcoded hyperparameter,total_batch_size=512,468.0,HYPERPARAMETER,True
dmc2gym_state_suz_multitask_ddp_balance_config.py,Hardcoded hyperparameter,reanalyze_batch_size=160,474.0,HYPERPARAMETER,True
dmc2gym_state_suz_multitask_ddp_balance_config.py,No tuning of hyperparameters,hyperparameter tuning is missing from the script,,HYPERPARAMETER,True
dmc2gym_state_suz_multitask_ddp_balance_config.py,Missing model evaluation,Evaluation call not found in the script,,EVALUATION,True
dmc2gym_state_suz_multitask_ddp_balance_config.py,Logging,No logging detected,,CODESTYLE,True
dmc2gym_state_sez_config.py,Missing checkpoint saving,The model does not implement intermediate checkpoint saving. Training progress could be lost.,,TRAINING,True
dmc2gym_state_sez_config.py,Hardcoded hyperparameter,batch_size=1024,23.0,HYPERPARAMETER,True
dmc2gym_state_sez_config.py,No tuning of hyperparameters,hyperparameter tuning is missing from the script,,HYPERPARAMETER,True
dmc2gym_state_sez_config.py,Missing model evaluation,Evaluation call not found in the script,,EVALUATION,True
dmc2gym_state_sez_config.py,Logging,No logging detected,,CODESTYLE,True
dmc2gym_lightzero_env.py,No tuning of hyperparameters,hyperparameter tuning is missing from the script,,HYPERPARAMETER,True
dmc2gym_lightzero_env.py,Missing model evaluation,Evaluation call not found in the script,,EVALUATION,True
dmc2gym_lightzero_env.py,Logging,logging library imported logging,21.0,CODESTYLE,False
dmc2gym_lightzero_env.py,Logging,call logging.info,421.0,CODESTYLE,False
dmc2gym_lightzero_env.py,Random behavior detected for sampling,self.action_space.sample(),467.0,AGENT,True
test_dmc2gym_env.py,Environment Closed Detected,env,48.0,ENVIRONMENT,False
test_dmc2gym_env.py,Missing checkpoint saving,The model does not implement intermediate checkpoint saving. Training progress could be lost.,,TRAINING,True
test_dmc2gym_env.py,No tuning of hyperparameters,hyperparameter tuning is missing from the script,,HYPERPARAMETER,True
test_dmc2gym_env.py,Missing model evaluation,Evaluation call not found in the script,,EVALUATION,True
test_dmc2gym_env.py,Logging,No logging detected,,CODESTYLE,True
test_dmc2gym_env.py,Random behavior detected for sampling,env.action_space.sample(),34.0,AGENT,True
test_jericho_env.py,Missing checkpoint saving,The model does not implement intermediate checkpoint saving. Training progress could be lost.,,TRAINING,True
test_jericho_env.py,No tuning of hyperparameters,hyperparameter tuning is missing from the script,,HYPERPARAMETER,True
test_jericho_env.py,Missing model evaluation,Evaluation call not found in the script,,EVALUATION,True
test_jericho_env.py,Logging,No logging detected,,CODESTYLE,True
jericho_env.py,Missing checkpoint saving,The model does not implement intermediate checkpoint saving. Training progress could be lost.,,TRAINING,True
jericho_env.py,No tuning of hyperparameters,hyperparameter tuning is missing from the script,,HYPERPARAMETER,True
jericho_env.py,Missing model evaluation,Evaluation call not found in the script,,EVALUATION,True
jericho_env.py,Logging,logging library imported logging,1.0,CODESTYLE,False
jericho_env.py,Logging,call logging.info,423.0,CODESTYLE,False
atari_muzero_rnn_fullobs_config.py,Missing checkpoint saving,The model does not implement intermediate checkpoint saving. Training progress could be lost.,,TRAINING,True
atari_muzero_rnn_fullobs_config.py,Hardcoded hyperparameter,batch_size=256,19.0,HYPERPARAMETER,True
atari_muzero_rnn_fullobs_config.py,No tuning of hyperparameters,hyperparameter tuning is missing from the script,,HYPERPARAMETER,True
atari_muzero_rnn_fullobs_config.py,Missing model evaluation,Evaluation call not found in the script,,EVALUATION,True
atari_muzero_rnn_fullobs_config.py,Logging,No logging detected,,CODESTYLE,True
test_atari_lightzero_env_visualization.py,Environment Closed Detected,env,22.0,ENVIRONMENT,False
test_atari_lightzero_env_visualization.py,Missing checkpoint saving,The model does not implement intermediate checkpoint saving. Training progress could be lost.,,TRAINING,True
test_atari_lightzero_env_visualization.py,No tuning of hyperparameters,hyperparameter tuning is missing from the script,,HYPERPARAMETER,True
test_atari_lightzero_env_visualization.py,Missing model evaluation,Evaluation call not found in the script,,EVALUATION,True
test_atari_lightzero_env_visualization.py,Logging,No logging detected,,CODESTYLE,True
test_atari_lightzero_env.py,Missing checkpoint saving,The model does not implement intermediate checkpoint saving. Training progress could be lost.,,TRAINING,True
test_atari_lightzero_env.py,No tuning of hyperparameters,hyperparameter tuning is missing from the script,,HYPERPARAMETER,True
