File,Smell,Details,Line,Category,Is Code Smell
minimal.py,Environment Closed Detected,env,22.0,ENVIRONMENT,False
minimal.py,Missing checkpoint saving,The model does not implement intermediate checkpoint saving. Training progress could be lost.,,TRAINING,True
minimal.py,No tuning of hyperparameters,hyperparameter tuning is missing from the script,,HYPERPARAMETER,True
minimal.py,Missing model evaluation,Evaluation call not found in the script,,EVALUATION,True
minimal.py,Logging,No logging detected,,CODESTYLE,True
run_train.py,Environment Closed Detected,env,318.0,ENVIRONMENT,False
run_train.py,No tuning of hyperparameters,hyperparameter tuning is missing from the script,,HYPERPARAMETER,True
run_train.py,Missing model evaluation,Evaluation call not found in the script,,EVALUATION,True
run_train.py,Logging,logging library imported logging,24.0,CODESTYLE,False
run_train.py,Logging,No logging detected,,CODESTYLE,True
run_test.py,Environment Closed Detected,env,177.0,ENVIRONMENT,False
run_test.py,Missing checkpoint saving,The model does not implement intermediate checkpoint saving. Training progress could be lost.,,TRAINING,True
run_test.py,No tuning of hyperparameters,hyperparameter tuning is missing from the script,,HYPERPARAMETER,True
run_test.py,Missing model evaluation,Evaluation call not found in the script,,EVALUATION,True
run_test.py,Logging,logging library imported logging,25.0,CODESTYLE,False
run_test.py,Logging,No logging detected,,CODESTYLE,True
egoless_example.py,Environment Closed Detected,env,44.0,ENVIRONMENT,False
egoless_example.py,Missing checkpoint saving,The model does not implement intermediate checkpoint saving. Training progress could be lost.,,TRAINING,True
egoless_example.py,No tuning of hyperparameters,hyperparameter tuning is missing from the script,,HYPERPARAMETER,True
egoless_example.py,Missing model evaluation,Evaluation call not found in the script,,EVALUATION,True
egoless_example.py,Logging,No logging detected,,CODESTYLE,True
egoless_example.py,Random behavior detected for actions,env.step({}),41.0,AGENT,True
npc_ego_example.py,Environment Closed Detected,env,67.0,ENVIRONMENT,False
npc_ego_example.py,Missing checkpoint saving,The model does not implement intermediate checkpoint saving. Training progress could be lost.,,TRAINING,True
npc_ego_example.py,No tuning of hyperparameters,hyperparameter tuning is missing from the script,,HYPERPARAMETER,True
npc_ego_example.py,Missing model evaluation,Evaluation call not found in the script,,EVALUATION,True
npc_ego_example.py,Logging,logging library imported logging,2.0,CODESTYLE,False
npc_ego_example.py,Logging,No logging detected,,CODESTYLE,True
e3_multi_agent.py,Environment Closed Detected,env,71.0,ENVIRONMENT,False
