File,Smell,Details,Line,Category,Is Code Smell
football_env.py,Missing checkpoint saving,The model does not implement intermediate checkpoint saving. Training progress could be lost.,,TRAINING,True
football_env.py,No tuning of hyperparameters,hyperparameter tuning is missing from the script,,HYPERPARAMETER,True
football_env.py,Missing model evaluation,Evaluation call not found in the script,,EVALUATION,True
football_env.py,Logging,call logging.error,74.0,CODESTYLE,False
football_env.py,Logging,call logging.error,75.0,CODESTYLE,False
football_env_core.py,Missing checkpoint saving,The model does not implement intermediate checkpoint saving. Training progress could be lost.,,TRAINING,True
football_env_core.py,No tuning of hyperparameters,hyperparameter tuning is missing from the script,,HYPERPARAMETER,True
football_env_core.py,Missing model evaluation,Evaluation call not found in the script,,EVALUATION,True
football_env_core.py,Logging,call logging.info,263.0,CODESTYLE,False
remote_football_env.py,Missing checkpoint saving,The model does not implement intermediate checkpoint saving. Training progress could be lost.,,TRAINING,True
remote_football_env.py,No tuning of hyperparameters,hyperparameter tuning is missing from the script,,HYPERPARAMETER,True
remote_football_env.py,Missing model evaluation,Evaluation call not found in the script,,EVALUATION,True
remote_football_env.py,Logging,call logging.info,76.0,CODESTYLE,False
remote_football_env.py,Logging,call logging.info,81.0,CODESTYLE,False
remote_football_env.py,Logging,call logging.info,83.0,CODESTYLE,False
remote_football_env.py,Logging,call logging.info,85.0,CODESTYLE,False
remote_football_env.py,Logging,call logging.warning,133.0,CODESTYLE,False
remote_football_env.py,Logging,call logging.warning,134.0,CODESTYLE,False
remote_football_env.py,Logging,call logging.warning,140.0,CODESTYLE,False
remote_football_env.py,Logging,call logging.warning,141.0,CODESTYLE,False
remote_football_env.py,Logging,call logging.warning,163.0,CODESTYLE,False
remote_football_env.py,Logging,call logging.warning,168.0,CODESTYLE,False
wrappers_test.py,Environment Closed Detected,env,42.0,ENVIRONMENT,False
wrappers_test.py,Environment Closed Detected,env,55.0,ENVIRONMENT,False
wrappers_test.py,Environment Closed Detected,env,70.0,ENVIRONMENT,False
wrappers_test.py,Environment Closed Detected,env,84.0,ENVIRONMENT,False
wrappers_test.py,Environment Closed Detected,env,102.0,ENVIRONMENT,False
wrappers_test.py,Environment Closed Detected,env,116.0,ENVIRONMENT,False
wrappers_test.py,Environment Closed Detected,env,131.0,ENVIRONMENT,False
wrappers_test.py,Environment Closed Detected,env,145.0,ENVIRONMENT,False
