File,Smell,Details,Line,Category,Is Code Smell
benchmark_env.py,Environment Closed Detected,env,54.0,ENVIRONMENT,False
benchmark_env.py,Missing checkpoint saving,The model does not implement intermediate checkpoint saving. Training progress could be lost.,,TRAINING,True
benchmark_env.py,No tuning of hyperparameters,hyperparameter tuning is missing from the script,,HYPERPARAMETER,True
benchmark_env.py,Missing model evaluation,Evaluation call not found in the script,,EVALUATION,True
benchmark_env.py,Logging,No logging detected,,CODESTYLE,True
test_godot_env.py,Environment Closed Detected,env,42.0,ENVIRONMENT,False
test_godot_env.py,Environment Closed Detected,env,82.0,ENVIRONMENT,False
test_godot_env.py,Missing checkpoint saving,The model does not implement intermediate checkpoint saving. Training progress could be lost.,,TRAINING,True
test_godot_env.py,No tuning of hyperparameters,hyperparameter tuning is missing from the script,,HYPERPARAMETER,True
test_godot_env.py,Missing model evaluation,Evaluation call not found in the script,,EVALUATION,True
test_godot_env.py,Logging,No logging detected,,CODESTYLE,True
test_call_method.py,Missing checkpoint saving,The model does not implement intermediate checkpoint saving. Training progress could be lost.,,TRAINING,True
test_call_method.py,No tuning of hyperparameters,hyperparameter tuning is missing from the script,,HYPERPARAMETER,True
test_call_method.py,Missing model evaluation,Evaluation call not found in the script,,EVALUATION,True
test_call_method.py,Logging,No logging detected,,CODESTYLE,True
test_call_method.py,Random behavior detected for sampling,env.action_space.sample(),13.0,AGENT,True
test_sb3_onnx_export.py,Missing checkpoint saving,The model does not implement intermediate checkpoint saving. Training progress could be lost.,,TRAINING,True
test_sb3_onnx_export.py,No tuning of hyperparameters,hyperparameter tuning is missing from the script,,HYPERPARAMETER,True
test_sb3_onnx_export.py,Missing model evaluation,Evaluation call not found in the script,,EVALUATION,True
test_sb3_onnx_export.py,Logging,No logging detected,,CODESTYLE,True
petting_zoo_wrapper.py,Missing checkpoint saving,The model does not implement intermediate checkpoint saving. Training progress could be lost.,,TRAINING,True
petting_zoo_wrapper.py,No tuning of hyperparameters,hyperparameter tuning is missing from the script,,HYPERPARAMETER,True
petting_zoo_wrapper.py,Missing model evaluation,Evaluation call not found in the script,,EVALUATION,True
petting_zoo_wrapper.py,Logging,No logging detected,,CODESTYLE,True
ray_wrapper.py,Missing checkpoint saving,The model does not implement intermediate checkpoint saving. Training progress could be lost.,,TRAINING,True
ray_wrapper.py,Tuning,Tuning function 'tune.run' used at line 124,124.0,HYPERPARAMETER,False
ray_wrapper.py,Missing model evaluation,Evaluation call not found in the script,,EVALUATION,True
ray_wrapper.py,Logging,No logging detected,,CODESTYLE,True
stable_baselines_wrapper.py,Environment Closed Detected,env,110.0,ENVIRONMENT,False
stable_baselines_wrapper.py,Environment Closed Detected,env,176.0,ENVIRONMENT,False
stable_baselines_wrapper.py,Missing checkpoint saving,The model does not implement intermediate checkpoint saving. Training progress could be lost.,,TRAINING,True
stable_baselines_wrapper.py,No tuning of hyperparameters,hyperparameter tuning is missing from the script,,HYPERPARAMETER,True
stable_baselines_wrapper.py,Missing model evaluation,Evaluation call not found in the script,,EVALUATION,True
stable_baselines_wrapper.py,Logging,No logging detected,,CODESTYLE,True
sbg_single_obs_wrapper.py,Missing checkpoint saving,The model does not implement intermediate checkpoint saving. Training progress could be lost.,,TRAINING,True
sbg_single_obs_wrapper.py,No tuning of hyperparameters,hyperparameter tuning is missing from the script,,HYPERPARAMETER,True
sbg_single_obs_wrapper.py,Missing model evaluation,Evaluation call not found in the script,,EVALUATION,True
sbg_single_obs_wrapper.py,Logging,No logging detected,,CODESTYLE,True
sample_factory_wrapper.py,Missing checkpoint saving,The model does not implement intermediate checkpoint saving. Training progress could be lost.,,TRAINING,True
sample_factory_wrapper.py,No tuning of hyperparameters,hyperparameter tuning is missing from the script,,HYPERPARAMETER,True
sample_factory_wrapper.py,Missing model evaluation,Evaluation call not found in the script,,EVALUATION,True
sample_factory_wrapper.py,Logging,No logging detected,,CODESTYLE,True
godot_env.py,Environment Closed Detected,env,513.0,ENVIRONMENT,False
godot_env.py,Missing checkpoint saving,The model does not implement intermediate checkpoint saving. Training progress could be lost.,,TRAINING,True
godot_env.py,No tuning of hyperparameters,hyperparameter tuning is missing from the script,,HYPERPARAMETER,True
godot_env.py,Missing model evaluation,Evaluation call not found in the script,,EVALUATION,True
godot_env.py,Logging,No logging detected,,CODESTYLE,True
godot_env.py,Random behavior detected for sampling,env.action_space.sample(),509.0,AGENT,True
clean_rl_pqn_example.py,Missing checkpoint saving,The model does not implement intermediate checkpoint saving. Training progress could be lost.,,TRAINING,True
clean_rl_pqn_example.py,No tuning of hyperparameters,hyperparameter tuning is missing from the script,,HYPERPARAMETER,True
clean_rl_pqn_example.py,Missing model evaluation,Evaluation call not found in the script,,EVALUATION,True
clean_rl_pqn_example.py,Logging,No logging detected,,CODESTYLE,True
stable_baselines3_hp_tuning.py,Environment Closed Detected,env,53.0,ENVIRONMENT,False
stable_baselines3_hp_tuning.py,Missing checkpoint saving,The model does not implement intermediate checkpoint saving. Training progress could be lost.,,TRAINING,True
stable_baselines3_hp_tuning.py,Tuning,Imported tuning library 'optuna' at line 16,16.0,HYPERPARAMETER,False
stable_baselines3_hp_tuning.py,Tuning,Imported from tuning library 'optuna.pruners' at line 17,17.0,HYPERPARAMETER,False
stable_baselines3_hp_tuning.py,Tuning,Imported from tuning library 'optuna.samplers' at line 18,18.0,HYPERPARAMETER,False
stable_baselines3_hp_tuning.py,Tuning,Tuning function 'optuna.create_study' used at line 175,175.0,HYPERPARAMETER,False
stable_baselines3_hp_tuning.py,Missing model evaluation,Evaluation call not found in the script,,EVALUATION,True
stable_baselines3_hp_tuning.py,Logging,No logging detected,,CODESTYLE,True
clean_rl_example.py,Missing checkpoint saving,The model does not implement intermediate checkpoint saving. Training progress could be lost.,,TRAINING,True
clean_rl_example.py,No tuning of hyperparameters,hyperparameter tuning is missing from the script,,HYPERPARAMETER,True
clean_rl_example.py,Missing model evaluation,Evaluation call not found in the script,,EVALUATION,True
clean_rl_example.py,Logging,No logging detected,,CODESTYLE,True
sb3_imitation.py,Environment Closed Detected,env,125.0,ENVIRONMENT,False
sb3_imitation.py,No tuning of hyperparameters,hyperparameter tuning is missing from the script,,HYPERPARAMETER,True
sb3_imitation.py,Missing model evaluation,Evaluation call not found in the script,,EVALUATION,True
sb3_imitation.py,Logging,No logging detected,,CODESTYLE,True
stable_baselines3_example.py,Environment Closed Detected,env,131.0,ENVIRONMENT,False
stable_baselines3_example.py,No tuning of hyperparameters,hyperparameter tuning is missing from the script,,HYPERPARAMETER,True
stable_baselines3_example.py,Missing model evaluation,Evaluation call not found in the script,,EVALUATION,True
stable_baselines3_example.py,Logging,call parser.error,155.0,CODESTYLE,False
rllib_example.py,Missing checkpoint saving,The model does not implement intermediate checkpoint saving. Training progress could be lost.,,TRAINING,True
rllib_example.py,No tuning of hyperparameters,hyperparameter tuning is missing from the script,,HYPERPARAMETER,True
rllib_example.py,Missing model evaluation,Evaluation call not found in the script,,EVALUATION,True
rllib_example.py,Logging,No logging detected,,CODESTYLE,True
clean_rl_ppo_gru_discrete_actions_example.py,No tuning of hyperparameters,hyperparameter tuning is missing from the script,,HYPERPARAMETER,True
clean_rl_ppo_gru_discrete_actions_example.py,Missing model evaluation,Evaluation call not found in the script,,EVALUATION,True
clean_rl_ppo_gru_discrete_actions_example.py,Logging,No logging detected,,CODESTYLE,True
