File,Smell,Details,Line,Category,Is Code Smell
test_default_multi_env.py,Missing checkpoint saving,The model does not implement intermediate checkpoint saving. Training progress could be lost.,,TRAINING,True
test_default_multi_env.py,No tuning of hyperparameters,hyperparameter tuning is missing from the script,,HYPERPARAMETER,True
test_default_multi_env.py,Missing model evaluation,Evaluation call not found in the script,,EVALUATION,True
test_default_multi_env.py,Logging,No logging detected,,CODESTYLE,True
test_make_env.py,Missing checkpoint saving,The model does not implement intermediate checkpoint saving. Training progress could be lost.,,TRAINING,True
test_make_env.py,No tuning of hyperparameters,hyperparameter tuning is missing from the script,,HYPERPARAMETER,True
test_make_env.py,Missing model evaluation,Evaluation call not found in the script,,EVALUATION,True
test_make_env.py,Logging,No logging detected,,CODESTYLE,True
basic_agent.py,Environment Closed Detected,env,41.0,ENVIRONMENT,False
basic_agent.py,Missing checkpoint saving,The model does not implement intermediate checkpoint saving. Training progress could be lost.,,TRAINING,True
basic_agent.py,No tuning of hyperparameters,hyperparameter tuning is missing from the script,,HYPERPARAMETER,True
basic_agent.py,Missing model evaluation,Evaluation call not found in the script,,EVALUATION,True
basic_agent.py,Logging,No logging detected,,CODESTYLE,True
multi_actor_env.py,Missing checkpoint saving,The model does not implement intermediate checkpoint saving. Training progress could be lost.,,TRAINING,True
multi_actor_env.py,No tuning of hyperparameters,hyperparameter tuning is missing from the script,,HYPERPARAMETER,True
multi_actor_env.py,Missing model evaluation,Evaluation call not found in the script,,EVALUATION,True
multi_actor_env.py,Logging,No logging detected,,CODESTYLE,True
multi_env.py,Missing checkpoint saving,The model does not implement intermediate checkpoint saving. Training progress could be lost.,,TRAINING,True
multi_env.py,No tuning of hyperparameters,hyperparameter tuning is missing from the script,,HYPERPARAMETER,True
multi_env.py,Missing model evaluation,Evaluation call not found in the script,,EVALUATION,True
multi_env.py,Logging,logging library imported logging,15.0,CODESTYLE,False
multi_env.py,Logging,call logger.warning,243.0,CODESTYLE,False
multi_env.py,Logging,call logger.info,469.0,CODESTYLE,False
multi_env.py,Logging,call logger.debug,567.0,CODESTYLE,False
urban_2car.py,Missing checkpoint saving,The model does not implement intermediate checkpoint saving. Training progress could be lost.,,TRAINING,True
urban_2car.py,No tuning of hyperparameters,hyperparameter tuning is missing from the script,,HYPERPARAMETER,True
urban_2car.py,Missing model evaluation,Evaluation call not found in the script,,EVALUATION,True
urban_2car.py,Logging,No logging detected,,CODESTYLE,True
follow_leading_vehicle.py,Environment Closed Detected,env,142.0,ENVIRONMENT,False
follow_leading_vehicle.py,Missing checkpoint saving,The model does not implement intermediate checkpoint saving. Training progress could be lost.,,TRAINING,True
follow_leading_vehicle.py,No tuning of hyperparameters,hyperparameter tuning is missing from the script,,HYPERPARAMETER,True
follow_leading_vehicle.py,Missing model evaluation,Evaluation call not found in the script,,EVALUATION,True
follow_leading_vehicle.py,Logging,No logging detected,,CODESTYLE,True
urban_signal_intersection_3c.py,Missing checkpoint saving,The model does not implement intermediate checkpoint saving. Training progress could be lost.,,TRAINING,True
urban_signal_intersection_3c.py,No tuning of hyperparameters,hyperparameter tuning is missing from the script,,HYPERPARAMETER,True
urban_signal_intersection_3c.py,Missing model evaluation,Evaluation call not found in the script,,EVALUATION,True
urban_signal_intersection_3c.py,Logging,No logging detected,,CODESTYLE,True
urban_2_car_1_ped.py,Missing checkpoint saving,The model does not implement intermediate checkpoint saving. Training progress could be lost.,,TRAINING,True
urban_2_car_1_ped.py,No tuning of hyperparameters,hyperparameter tuning is missing from the script,,HYPERPARAMETER,True
urban_2_car_1_ped.py,Missing model evaluation,Evaluation call not found in the script,,EVALUATION,True
urban_2_car_1_ped.py,Logging,No logging detected,,CODESTYLE,True
stop_sign_3c_town03.py,Missing checkpoint saving,The model does not implement intermediate checkpoint saving. Training progress could be lost.,,TRAINING,True
stop_sign_3c_town03.py,No tuning of hyperparameters,hyperparameter tuning is missing from the script,,HYPERPARAMETER,True
stop_sign_3c_town03.py,Missing model evaluation,Evaluation call not found in the script,,EVALUATION,True
stop_sign_3c_town03.py,Logging,No logging detected,,CODESTYLE,True
traffic_light_signal_1b2c1p_town03.py,Missing checkpoint saving,The model does not implement intermediate checkpoint saving. Training progress could be lost.,,TRAINING,True
traffic_light_signal_1b2c1p_town03.py,No tuning of hyperparameters,hyperparameter tuning is missing from the script,,HYPERPARAMETER,True
traffic_light_signal_1b2c1p_town03.py,Missing model evaluation,Evaluation call not found in the script,,EVALUATION,True
traffic_light_signal_1b2c1p_town03.py,Logging,No logging detected,,CODESTYLE,True
