File,Smell,Details,Line,Category,Is Code Smell
mpe_omar.py,Missing checkpoint saving,The model does not implement intermediate checkpoint saving. Training progress could be lost.,,TRAINING,True
mpe_omar.py,No tuning of hyperparameters,hyperparameter tuning is missing from the script,,HYPERPARAMETER,True
mpe_omar.py,Missing model evaluation,Evaluation call not found in the script,,EVALUATION,True
mpe_omar.py,Logging,No logging detected,,CODESTYLE,True
gymnasium_mamujoco.py,Missing checkpoint saving,The model does not implement intermediate checkpoint saving. Training progress could be lost.,,TRAINING,True
gymnasium_mamujoco.py,No tuning of hyperparameters,hyperparameter tuning is missing from the script,,HYPERPARAMETER,True
gymnasium_mamujoco.py,Missing model evaluation,Evaluation call not found in the script,,EVALUATION,True
gymnasium_mamujoco.py,Logging,No logging detected,,CODESTYLE,True
mamujoco.py,Missing checkpoint saving,The model does not implement intermediate checkpoint saving. Training progress could be lost.,,TRAINING,True
mamujoco.py,No tuning of hyperparameters,hyperparameter tuning is missing from the script,,HYPERPARAMETER,True
mamujoco.py,Missing model evaluation,Evaluation call not found in the script,,EVALUATION,True
mamujoco.py,Logging,No logging detected,,CODESTYLE,True
rware_alberdice.py,Missing checkpoint saving,The model does not implement intermediate checkpoint saving. Training progress could be lost.,,TRAINING,True
rware_alberdice.py,No tuning of hyperparameters,hyperparameter tuning is missing from the script,,HYPERPARAMETER,True
rware_alberdice.py,Missing model evaluation,Evaluation call not found in the script,,EVALUATION,True
rware_alberdice.py,Logging,No logging detected,,CODESTYLE,True
mamujoco_omiga.py,Missing checkpoint saving,The model does not implement intermediate checkpoint saving. Training progress could be lost.,,TRAINING,True
mamujoco_omiga.py,No tuning of hyperparameters,hyperparameter tuning is missing from the script,,HYPERPARAMETER,True
mamujoco_omiga.py,Missing model evaluation,Evaluation call not found in the script,,EVALUATION,True
mamujoco_omiga.py,Logging,No logging detected,,CODESTYLE,True
mujoco_multi.py,Missing checkpoint saving,The model does not implement intermediate checkpoint saving. Training progress could be lost.,,TRAINING,True
mujoco_multi.py,No tuning of hyperparameters,hyperparameter tuning is missing from the script,,HYPERPARAMETER,True
mujoco_multi.py,Missing model evaluation,Evaluation call not found in the script,,EVALUATION,True
mujoco_multi.py,Logging,No logging detected,,CODESTYLE,True
StarCraft2_Env.py,Missing checkpoint saving,The model does not implement intermediate checkpoint saving. Training progress could be lost.,,TRAINING,True
StarCraft2_Env.py,No tuning of hyperparameters,hyperparameter tuning is missing from the script,,HYPERPARAMETER,True
StarCraft2_Env.py,Missing model evaluation,Evaluation call not found in the script,,EVALUATION,True
StarCraft2_Env.py,Logging,call logging.debug,450.0,CODESTYLE,False
StarCraft2_Env.py,Logging,call logging.debug,502.0,CODESTYLE,False
StarCraft2_Env.py,Logging,call logging.debug,620.0,CODESTYLE,False
StarCraft2_Env.py,Logging,call logging.debug,664.0,CODESTYLE,False
StarCraft2_Env.py,Logging,call logging.debug,672.0,CODESTYLE,False
StarCraft2_Env.py,Logging,call logging.debug,683.0,CODESTYLE,False
StarCraft2_Env.py,Logging,call logging.debug,694.0,CODESTYLE,False
StarCraft2_Env.py,Logging,call logging.debug,705.0,CODESTYLE,False
StarCraft2_Env.py,Logging,call logging.debug,716.0,CODESTYLE,False
StarCraft2_Env.py,Logging,call logging.debug,738.0,CODESTYLE,False
StarCraft2_Env.py,Logging,call logging.info,927.0,CODESTYLE,False
StarCraft2_Env.py,Logging,call logging.debug,1155.0,CODESTYLE,False
StarCraft2_Env.py,Logging,call logging.debug,1156.0,CODESTYLE,False
StarCraft2_Env.py,Logging,call logging.debug,1157.0,CODESTYLE,False
StarCraft2_Env.py,Logging,call logging.debug,1158.0,CODESTYLE,False
StarCraft2_Env.py,Logging,call logging.debug,1159.0,CODESTYLE,False
StarCraft2_Env.py,Logging,call logging.debug,1160.0,CODESTYLE,False
StarCraft2_Env.py,Logging,call logging.debug,1346.0,CODESTYLE,False
StarCraft2_Env.py,Logging,call logging.debug,1347.0,CODESTYLE,False
StarCraft2_Env.py,Logging,call logging.debug,1348.0,CODESTYLE,False
StarCraft2_Env.py,Logging,call logging.debug,1349.0,CODESTYLE,False
StarCraft2_Env.py,Logging,call logging.debug,1351.0,CODESTYLE,False
StarCraft2_Env.py,Logging,call logging.debug,1544.0,CODESTYLE,False
StarCraft2_Env.py,Logging,call logging.debug,1545.0,CODESTYLE,False
StarCraft2_Env.py,Logging,call logging.debug,1546.0,CODESTYLE,False
StarCraft2_Env.py,Logging,call logging.debug,1547.0,CODESTYLE,False
StarCraft2_Env.py,Logging,call logging.debug,1548.0,CODESTYLE,False
StarCraft2_Env.py,Logging,call logging.debug,1549.0,CODESTYLE,False
StarCraft2_Env.py,Logging,call self._controller.debug,1922.0,CODESTYLE,False
StarCraft2_Env.py,Logging,call logging.debug,1941.0,CODESTYLE,False
warehouse_env.py,Missing checkpoint saving,The model does not implement intermediate checkpoint saving. Training progress could be lost.,,TRAINING,True
