File,Smell,Details,Line,Category,Is Code Smell
obs_dict_replay_buffer.py,Missing checkpoint saving,The model does not implement intermediate checkpoint saving. Training progress could be lost.,,TRAINING,True
obs_dict_replay_buffer.py,No tuning of hyperparameters,hyperparameter tuning is missing from the script,,HYPERPARAMETER,True
obs_dict_replay_buffer.py,Missing model evaluation,Evaluation call not found in the script,,EVALUATION,True
obs_dict_replay_buffer.py,Logging,No logging detected,,CODESTYLE,True
env_replay_buffer.py,Missing checkpoint saving,The model does not implement intermediate checkpoint saving. Training progress could be lost.,,TRAINING,True
env_replay_buffer.py,No tuning of hyperparameters,hyperparameter tuning is missing from the script,,HYPERPARAMETER,True
env_replay_buffer.py,Missing model evaluation,Evaluation call not found in the script,,EVALUATION,True
env_replay_buffer.py,Logging,No logging detected,,CODESTYLE,True
pearl_launcher.py,Missing checkpoint saving,The model does not implement intermediate checkpoint saving. Training progress could be lost.,,TRAINING,True
pearl_launcher.py,No tuning of hyperparameters,hyperparameter tuning is missing from the script,,HYPERPARAMETER,True
pearl_launcher.py,Missing model evaluation,Evaluation call not found in the script,,EVALUATION,True
pearl_launcher.py,Logging,No logging detected,,CODESTYLE,True
launcher.py,Missing checkpoint saving,The model does not implement intermediate checkpoint saving. Training progress could be lost.,,TRAINING,True
launcher.py,No tuning of hyperparameters,hyperparameter tuning is missing from the script,,HYPERPARAMETER,True
launcher.py,Missing model evaluation,Evaluation call not found in the script,,EVALUATION,True
launcher.py,Logging,No logging detected,,CODESTYLE,True
stub_classes.py,Missing checkpoint saving,The model does not implement intermediate checkpoint saving. Training progress could be lost.,,TRAINING,True
stub_classes.py,No tuning of hyperparameters,hyperparameter tuning is missing from the script,,HYPERPARAMETER,True
stub_classes.py,Missing model evaluation,Evaluation call not found in the script,,EVALUATION,True
stub_classes.py,Logging,No logging detected,,CODESTYLE,True
skewfit_experiments.py,No tuning of hyperparameters,hyperparameter tuning is missing from the script,,HYPERPARAMETER,True
skewfit_experiments.py,Missing model evaluation,Evaluation call not found in the script,,EVALUATION,True
skewfit_experiments.py,Logging,No logging detected,,CODESTYLE,True
skewfit_experiments.py,Random behavior detected for sampling,env.action_space.sample(),253.0,AGENT,True
skewfit_experiments.py,Random behavior detected for sampling,env.action_space.sample(),282.0,AGENT,True
skewfit_experiments.py,Random behavior detected for sampling,env.action_space.sample(),277.0,AGENT,True
awac_gcrl.py,No tuning of hyperparameters,hyperparameter tuning is missing from the script,,HYPERPARAMETER,True
awac_gcrl.py,Missing model evaluation,Evaluation call not found in the script,,EVALUATION,True
awac_gcrl.py,Logging,No logging detected,,CODESTYLE,True
awac_rl.py,No tuning of hyperparameters,hyperparameter tuning is missing from the script,,HYPERPARAMETER,True
awac_rl.py,Missing model evaluation,Evaluation call not found in the script,,EVALUATION,True
awac_rl.py,Logging,No logging detected,,CODESTYLE,True
awac_encoder_rl.py,Missing checkpoint saving,The model does not implement intermediate checkpoint saving. Training progress could be lost.,,TRAINING,True
awac_encoder_rl.py,No tuning of hyperparameters,hyperparameter tuning is missing from the script,,HYPERPARAMETER,True
awac_encoder_rl.py,Missing model evaluation,Evaluation call not found in the script,,EVALUATION,True
awac_encoder_rl.py,Logging,No logging detected,,CODESTYLE,True
finetune_rl.py,Missing checkpoint saving,The model does not implement intermediate checkpoint saving. Training progress could be lost.,,TRAINING,True
finetune_rl.py,No tuning of hyperparameters,hyperparameter tuning is missing from the script,,HYPERPARAMETER,True
finetune_rl.py,Missing model evaluation,Evaluation call not found in the script,,EVALUATION,True
finetune_rl.py,Logging,No logging detected,,CODESTYLE,True
mujoco_env.py,Missing checkpoint saving,The model does not implement intermediate checkpoint saving. Training progress could be lost.,,TRAINING,True
mujoco_env.py,No tuning of hyperparameters,hyperparameter tuning is missing from the script,,HYPERPARAMETER,True
mujoco_env.py,Missing model evaluation,Evaluation call not found in the script,,EVALUATION,True
mujoco_env.py,Logging,No logging detected,,CODESTYLE,True
proxy_env.py,Missing checkpoint saving,The model does not implement intermediate checkpoint saving. Training progress could be lost.,,TRAINING,True
proxy_env.py,No tuning of hyperparameters,hyperparameter tuning is missing from the script,,HYPERPARAMETER,True
proxy_env.py,Missing model evaluation,Evaluation call not found in the script,,EVALUATION,True
proxy_env.py,Logging,No logging detected,,CODESTYLE,True
wrappers.py,Missing checkpoint saving,The model does not implement intermediate checkpoint saving. Training progress could be lost.,,TRAINING,True
wrappers.py,No tuning of hyperparameters,hyperparameter tuning is missing from the script,,HYPERPARAMETER,True
wrappers.py,Missing model evaluation,Evaluation call not found in the script,,EVALUATION,True
wrappers.py,Logging,No logging detected,,CODESTYLE,True
mujoco_image_env.py,Missing checkpoint saving,The model does not implement intermediate checkpoint saving. Training progress could be lost.,,TRAINING,True
mujoco_image_env.py,No tuning of hyperparameters,hyperparameter tuning is missing from the script,,HYPERPARAMETER,True
mujoco_image_env.py,Missing model evaluation,Evaluation call not found in the script,,EVALUATION,True
mujoco_image_env.py,Logging,No logging detected,,CODESTYLE,True
vae_wrapper.py,Missing checkpoint saving,The model does not implement intermediate checkpoint saving. Training progress could be lost.,,TRAINING,True
vae_wrapper.py,No tuning of hyperparameters,hyperparameter tuning is missing from the script,,HYPERPARAMETER,True
vae_wrapper.py,Missing model evaluation,Evaluation call not found in the script,,EVALUATION,True
vae_wrapper.py,Logging,No logging detected,,CODESTYLE,True
make_env.py,Missing checkpoint saving,The model does not implement intermediate checkpoint saving. Training progress could be lost.,,TRAINING,True
make_env.py,No tuning of hyperparameters,hyperparameter tuning is missing from the script,,HYPERPARAMETER,True
