File,Smell,Details,Line,Category,Is Code Smell
mappo_agents.py,Missing checkpoint saving,The model does not implement intermediate checkpoint saving. Training progress could be lost.,,TRAINING,True
mappo_agents.py,No tuning of hyperparameters,hyperparameter tuning is missing from the script,,HYPERPARAMETER,True
mappo_agents.py,Missing model evaluation,Evaluation call not found in the script,,EVALUATION,True
mappo_agents.py,Logging,No logging detected,,CODESTYLE,True
coma_agents.py,Missing checkpoint saving,The model does not implement intermediate checkpoint saving. Training progress could be lost.,,TRAINING,True
coma_agents.py,No tuning of hyperparameters,hyperparameter tuning is missing from the script,,HYPERPARAMETER,True
coma_agents.py,Missing model evaluation,Evaluation call not found in the script,,EVALUATION,True
coma_agents.py,Logging,No logging detected,,CODESTYLE,True
ic3net_agents.py,Missing checkpoint saving,The model does not implement intermediate checkpoint saving. Training progress could be lost.,,TRAINING,True
ic3net_agents.py,No tuning of hyperparameters,hyperparameter tuning is missing from the script,,HYPERPARAMETER,True
ic3net_agents.py,Missing model evaluation,Evaluation call not found in the script,,EVALUATION,True
ic3net_agents.py,Logging,No logging detected,,CODESTYLE,True
iac_agents.py,Missing checkpoint saving,The model does not implement intermediate checkpoint saving. Training progress could be lost.,,TRAINING,True
iac_agents.py,No tuning of hyperparameters,hyperparameter tuning is missing from the script,,HYPERPARAMETER,True
iac_agents.py,Missing model evaluation,Evaluation call not found in the script,,EVALUATION,True
iac_agents.py,Logging,No logging detected,,CODESTYLE,True
commnet_agents.py,Missing checkpoint saving,The model does not implement intermediate checkpoint saving. Training progress could be lost.,,TRAINING,True
commnet_agents.py,No tuning of hyperparameters,hyperparameter tuning is missing from the script,,HYPERPARAMETER,True
commnet_agents.py,Missing model evaluation,Evaluation call not found in the script,,EVALUATION,True
commnet_agents.py,Logging,No logging detected,,CODESTYLE,True
mfac_agents.py,Missing checkpoint saving,The model does not implement intermediate checkpoint saving. Training progress could be lost.,,TRAINING,True
mfac_agents.py,No tuning of hyperparameters,hyperparameter tuning is missing from the script,,HYPERPARAMETER,True
mfac_agents.py,Missing model evaluation,Evaluation call not found in the script,,EVALUATION,True
mfac_agents.py,Logging,No logging detected,,CODESTYLE,True
vdac_agents.py,Missing checkpoint saving,The model does not implement intermediate checkpoint saving. Training progress could be lost.,,TRAINING,True
vdac_agents.py,No tuning of hyperparameters,hyperparameter tuning is missing from the script,,HYPERPARAMETER,True
